Professor_Code,professor_name,Years_of_Experience,Field_of_Expertise,Past_Mentee_Performance,Behavior_Rating,Feedback_Rating,Contact_Email
P14479,Jushan  Bai,17,Mobile Development,5.3,7.47,7.83,jushan..bai@univ.edu
P14480,Patrick  McMullen,14,AI/ML,7.63,7.51,7.25,patrick..mcmullen@univ.edu
P14481,Patrick  McMullen,5,AI/ML,5.95,6.94,5.67,patrick..mcmullen@univ.edu
P14482,Patrick  McMullen,12,Web Development,7.5,8.79,7.43,patrick..mcmullen@univ.edu
P14483,Patrick  McMullen,16,AI/ML,6.02,9.65,6.65,patrick..mcmullen@univ.edu
P14484,Patrick  McMullen,16,Mobile Development,6.32,4.61,7.76,patrick..mcmullen@univ.edu
P14485,Patrick  McMullen,5,Web Development,8.03,9.11,7.77,patrick..mcmullen@univ.edu
P14486,Patrick  McMullen,3,Mobile Development,7.29,7.22,5.92,patrick..mcmullen@univ.edu
P14487,Patrick  McMullen,3,AI/ML,6.0,5.44,5.66,patrick..mcmullen@univ.edu
P14488,Patrick  McMullen,4,AI/ML,5.19,6.02,7.4,patrick..mcmullen@univ.edu
P14489,Patrick  McMullen,12,Mobile Development,5.95,7.22,7.64,patrick..mcmullen@univ.edu
P14490,Patrick  McMullen,6,Cybersecurity,6.92,7.1,6.86,patrick..mcmullen@univ.edu
P14491,Patrick  McMullen,6,Web Development,5.54,6.57,7.84,patrick..mcmullen@univ.edu
P14492,Jonathon  Bradshaw,15,Web Development,7.3,6.02,7.99,jonathon..bradshaw@univ.edu
P14493,Jonathon  Bradshaw,11,AI/ML,5.68,10.0,8.26,jonathon..bradshaw@univ.edu
P14494,Jonathon  Bradshaw,9,Web Development,6.77,8.09,6.34,jonathon..bradshaw@univ.edu
P14495,Jonathon  Bradshaw,18,Mobile Development,7.39,8.88,8.4,jonathon..bradshaw@univ.edu
P14496,Jonathon  Bradshaw,20,AI/ML,6.42,9.47,6.59,jonathon..bradshaw@univ.edu
P14497,Jonathon  Bradshaw,5,Web Development,8.27,7.19,6.57,jonathon..bradshaw@univ.edu
P14498,Jonathon  Bradshaw,12,Data Science,7.44,7.64,8.36,jonathon..bradshaw@univ.edu
P14499,Jonathon  Bradshaw,18,Web Development,5.89,8.24,7.52,jonathon..bradshaw@univ.edu
P14500,Ronald  Weber,5,Mobile Development,5.64,6.35,7.03,ronald..weber@univ.edu
P14501,Ronald  Weber,13,Web Development,8.86,6.39,5.83,ronald..weber@univ.edu
P14502,Ronald  Weber,12,Cybersecurity,8.32,10.0,8.47,ronald..weber@univ.edu
P14503,Ronald  Weber,18,Cybersecurity,6.57,10.0,6.1,ronald..weber@univ.edu
P14504,Ronald  Weber,10,AI/ML,7.35,5.66,4.71,ronald..weber@univ.edu
P14505,Ronald  Weber,11,Cybersecurity,6.65,8.81,6.5,ronald..weber@univ.edu
P14506,Ronald  Weber,17,Mobile Development,7.78,8.79,8.25,ronald..weber@univ.edu
P14507,Ronald  Weber,5,Data Science,7.2,8.38,7.2,ronald..weber@univ.edu
P14508,Ronald  Weber,6,Data Science,4.58,6.68,6.96,ronald..weber@univ.edu
P14509,Ronald  Weber,15,AI/ML,8.37,6.5,6.13,ronald..weber@univ.edu
P14510,Ronald  Weber,14,AI/ML,8.62,9.91,7.49,ronald..weber@univ.edu
P14511,Ronald  Weber,11,Cybersecurity,6.43,10.0,7.47,ronald..weber@univ.edu
P14512,Ronald  Weber,16,Mobile Development,7.37,7.92,5.62,ronald..weber@univ.edu
P14513,Ronald  Weber,9,Cybersecurity,8.3,5.91,5.16,ronald..weber@univ.edu
P14514,Ronald  Weber,18,Mobile Development,10.0,7.67,8.93,ronald..weber@univ.edu
P14515,Ronald  Weber,7,Mobile Development,7.63,7.26,9.88,ronald..weber@univ.edu
P14516,Ronald  Weber,12,Data Science,7.42,6.79,8.56,ronald..weber@univ.edu
P14517,Ronald  Weber,20,Mobile Development,8.03,7.61,7.55,ronald..weber@univ.edu
P14518,Ronald  Weber,13,Web Development,8.15,9.24,6.85,ronald..weber@univ.edu
P14519,Ronald  Weber,9,Mobile Development,7.64,9.28,7.37,ronald..weber@univ.edu
P14520,Daniel  Kern,16,Data Science,5.45,8.34,8.25,daniel..kern@univ.edu
P14521,Daniel  Kern,20,Cybersecurity,7.21,8.56,7.91,daniel..kern@univ.edu
P14522,Daniel  Kern,13,Mobile Development,7.35,8.35,10.0,daniel..kern@univ.edu
P14523,Daniel  Kern,14,Web Development,5.24,7.03,8.34,daniel..kern@univ.edu
P14524,Daniel  Kern,20,AI/ML,7.76,9.92,8.29,daniel..kern@univ.edu
P14525,Daniel  Kern,4,Cybersecurity,5.64,5.96,8.49,daniel..kern@univ.edu
P14526,Daniel  Kern,3,AI/ML,8.58,8.6,7.9,daniel..kern@univ.edu
P14527,Daniel  Kern,12,Web Development,6.04,8.52,7.28,daniel..kern@univ.edu
P14528,Daniel  Kern,3,Data Science,8.13,10.0,7.02,daniel..kern@univ.edu
P14529,Daniel  Kern,8,Data Science,6.18,6.18,7.92,daniel..kern@univ.edu
P14530,Daniel  Kern,9,Cybersecurity,8.51,7.66,8.7,daniel..kern@univ.edu
P14531,Daniel  Kern,19,Mobile Development,8.66,6.63,7.78,daniel..kern@univ.edu
P14532,Daniel  Kern,11,Mobile Development,7.68,9.97,6.39,daniel..kern@univ.edu
P14533,Tony  Gremaud,9,AI/ML,6.24,6.81,6.46,tony..gremaud@univ.edu
P14534,Tony  Gremaud,19,Data Science,7.51,7.31,7.81,tony..gremaud@univ.edu
P14535,Tony  Gremaud,5,Mobile Development,6.13,10.0,7.87,tony..gremaud@univ.edu
P14536,Tony  Gremaud,18,Mobile Development,5.63,6.45,6.05,tony..gremaud@univ.edu
P14537,Tony  Gremaud,7,Data Science,6.38,7.37,5.78,tony..gremaud@univ.edu
P14538,Tony  Gremaud,20,Data Science,6.94,9.54,6.94,tony..gremaud@univ.edu
P14539,Tony  Gremaud,3,Web Development,6.24,10.0,6.48,tony..gremaud@univ.edu
P14540,Tony  Gremaud,6,AI/ML,6.68,7.04,7.83,tony..gremaud@univ.edu
P14541,Tony  Gremaud,13,Data Science,6.33,9.73,8.17,tony..gremaud@univ.edu
P14542,Tony  Gremaud,11,Web Development,7.02,8.2,7.74,tony..gremaud@univ.edu
P14543,Dave  Challen,10,Data Science,6.73,7.53,7.43,dave..challen@univ.edu
P14544,Dave  Challen,10,Cybersecurity,5.18,9.42,7.16,dave..challen@univ.edu
P14545,Dave  Challen,7,Cybersecurity,6.96,7.28,8.07,dave..challen@univ.edu
P14546,Dave  Challen,14,Cybersecurity,6.04,5.91,6.23,dave..challen@univ.edu
P14547,Dave  Challen,3,Data Science,5.91,4.98,10.0,dave..challen@univ.edu
P14548,Dave  Challen,17,Mobile Development,5.91,8.44,5.98,dave..challen@univ.edu
P14549,Dave  Challen,20,Mobile Development,7.21,8.44,7.79,dave..challen@univ.edu
P14550,Dave  Challen,8,Cybersecurity,7.48,8.29,8.92,dave..challen@univ.edu
P14551,Paulette  Tandy,12,AI/ML,7.15,6.65,6.12,paulette..tandy@univ.edu
P14552,Paulette  Tandy,16,Web Development,7.87,9.22,7.64,paulette..tandy@univ.edu
P14553,Paulette  Tandy,10,Cybersecurity,7.0,9.07,10.0,paulette..tandy@univ.edu
P14554,Paulette  Tandy,5,Web Development,7.16,9.64,6.72,paulette..tandy@univ.edu
P14555,Paulette  Tandy,14,Web Development,5.97,7.77,6.93,paulette..tandy@univ.edu
P14556,Paulette  Tandy,14,Cybersecurity,7.59,8.53,7.78,paulette..tandy@univ.edu
P14557,Paulette  Tandy,17,Mobile Development,6.83,7.97,6.3,paulette..tandy@univ.edu
P14558,Paulette  Tandy,9,AI/ML,7.75,6.2,8.23,paulette..tandy@univ.edu
P14559,Paulette  Tandy,6,Cybersecurity,6.88,8.44,5.99,paulette..tandy@univ.edu
P14560,Paulette  Tandy,11,Web Development,7.0,7.6,8.6,paulette..tandy@univ.edu
P14561,Paulette  Tandy,18,Data Science,6.05,6.93,6.15,paulette..tandy@univ.edu
P14562,Paulette  Tandy,15,Data Science,6.81,10.0,7.86,paulette..tandy@univ.edu
P14563,Paulette  Tandy,6,Web Development,9.44,5.46,8.35,paulette..tandy@univ.edu
P14564,Paulette  Tandy,11,Cybersecurity,4.78,7.93,6.87,paulette..tandy@univ.edu
P14565,Paulette  Tandy,20,Mobile Development,6.45,7.85,7.57,paulette..tandy@univ.edu
P14566,Paulette  Tandy,17,Cybersecurity,7.94,8.44,8.2,paulette..tandy@univ.edu
P14567,Paulette  Tandy,17,AI/ML,6.14,7.12,6.19,paulette..tandy@univ.edu
P14568,Paulette  Tandy,8,Data Science,7.13,4.57,6.86,paulette..tandy@univ.edu
P14569,Paulette  Tandy,13,Web Development,6.88,7.07,5.83,paulette..tandy@univ.edu
P14570,Paulette  Tandy,10,Mobile Development,8.02,7.12,8.29,paulette..tandy@univ.edu
P14571,William  Jenkins,19,Cybersecurity,6.71,10.0,7.1,william..jenkins@univ.edu
P14572,William  Jenkins,19,AI/ML,5.02,8.76,8.18,william..jenkins@univ.edu
P14573,William  Jenkins,20,Cybersecurity,9.03,8.61,9.41,william..jenkins@univ.edu
P14574,William  Jenkins,6,AI/ML,6.85,10.0,6.13,william..jenkins@univ.edu
P14575,William  Jenkins,17,Cybersecurity,7.19,9.36,6.42,william..jenkins@univ.edu
P14576,William  Jenkins,4,Mobile Development,6.46,10.0,6.49,william..jenkins@univ.edu
P14577,William  Jenkins,4,Mobile Development,7.2,7.57,8.88,william..jenkins@univ.edu
P14578,William  Jenkins,12,Web Development,8.18,9.42,7.22,william..jenkins@univ.edu
P14579,William  Jenkins,5,Mobile Development,6.83,7.74,8.72,william..jenkins@univ.edu
P14580,William  Jenkins,10,AI/ML,6.07,6.47,10.0,william..jenkins@univ.edu
P14581,William  Jenkins,9,Web Development,5.43,7.01,5.82,william..jenkins@univ.edu
P14582,William  Jenkins,14,Mobile Development,8.41,8.2,6.74,william..jenkins@univ.edu
P14583,William  Jenkins,17,Data Science,6.47,9.34,8.59,william..jenkins@univ.edu
P14584,William  Jenkins,16,AI/ML,7.66,9.94,6.92,william..jenkins@univ.edu
P14585,William  Jenkins,18,Web Development,7.83,6.16,5.97,william..jenkins@univ.edu
P14586,William  Jenkins,16,AI/ML,6.73,7.74,6.15,william..jenkins@univ.edu
P14587,William  Jenkins,5,Web Development,6.91,7.39,6.5,william..jenkins@univ.edu
P14588,William  Jenkins,20,AI/ML,7.01,10.0,5.54,william..jenkins@univ.edu
P14589,William  Jenkins,8,Data Science,7.97,7.78,6.85,william..jenkins@univ.edu
P14590,William  Jenkins,19,Mobile Development,6.02,7.06,8.38,william..jenkins@univ.edu
P14591,William  Brewbaker,16,Cybersecurity,6.76,7.8,6.18,william..brewbaker@univ.edu
P14592,William  Brewbaker,16,Cybersecurity,7.35,8.98,7.97,william..brewbaker@univ.edu
P14593,William  Brewbaker,15,Cybersecurity,7.38,10.0,6.9,william..brewbaker@univ.edu
P14594,William  Brewbaker,5,Web Development,7.75,4.96,8.26,william..brewbaker@univ.edu
P14595,William  Brewbaker,15,Mobile Development,5.4,7.35,5.52,william..brewbaker@univ.edu
P14596,William  Brewbaker,4,Web Development,6.61,7.69,7.07,william..brewbaker@univ.edu
P14597,William  Brewbaker,11,Web Development,7.49,7.82,8.5,william..brewbaker@univ.edu
P14598,William  Brewbaker,15,Web Development,5.44,10.0,8.97,william..brewbaker@univ.edu
P14599,Wythe  Holt,10,Web Development,9.11,7.62,7.74,wythe..holt@univ.edu
P14600,Wythe  Holt,18,Mobile Development,5.14,10.0,7.19,wythe..holt@univ.edu
P14601,Wythe  Holt,5,Cybersecurity,5.64,7.04,7.56,wythe..holt@univ.edu
P14602,Laurie  Ross,15,AI/ML,6.14,5.91,7.46,laurie..ross@univ.edu
P14603,Laurie  Ross,6,Web Development,6.01,8.95,8.72,laurie..ross@univ.edu
P14604,Laurie  Ross,20,Mobile Development,7.6,7.7,6.62,laurie..ross@univ.edu
P14605,Laurie  Ross,4,Data Science,7.1,5.92,5.84,laurie..ross@univ.edu
P14606,Laurie  Ross,17,AI/ML,5.93,9.28,8.05,laurie..ross@univ.edu
P14607,Laurie  Ross,19,Web Development,9.49,9.88,7.46,laurie..ross@univ.edu
P14608,Laurie  Ross,12,Web Development,7.9,8.61,7.23,laurie..ross@univ.edu
P14609,Laurie  Ross,3,AI/ML,7.31,8.49,9.68,laurie..ross@univ.edu
P14610,Laurie  Ross,8,AI/ML,7.86,8.36,6.39,laurie..ross@univ.edu
P14611,Laurie  Ross,5,Web Development,7.48,9.02,5.14,laurie..ross@univ.edu
P14612,Laurie  Ross,9,Mobile Development,7.23,9.5,8.11,laurie..ross@univ.edu
P14613,Laurie  Ross,15,Data Science,7.61,6.25,6.6,laurie..ross@univ.edu
P14614,Laurie  Ross,15,Mobile Development,6.95,7.37,7.45,laurie..ross@univ.edu
P14615,Laurie  Ross,19,Cybersecurity,7.81,8.13,9.64,laurie..ross@univ.edu
P14616,Laurie  Ross,3,Cybersecurity,7.1,7.84,4.95,laurie..ross@univ.edu
P14617,Laurie  Ross,16,Cybersecurity,6.67,8.55,6.59,laurie..ross@univ.edu
P14618,Laurie  Ross,5,Web Development,8.96,8.37,8.72,laurie..ross@univ.edu
P14619,Laurie  Ross,16,Data Science,7.1,8.29,9.06,laurie..ross@univ.edu
P14620,Sam  Marcosson,3,Data Science,6.7,7.07,6.62,sam..marcosson@univ.edu
P14621,Sam  Marcosson,18,Web Development,5.97,7.04,7.54,sam..marcosson@univ.edu
P14622,Sam  Marcosson,12,Web Development,5.8,10.0,7.91,sam..marcosson@univ.edu
P14623,Sam  Marcosson,15,Web Development,7.05,7.46,7.83,sam..marcosson@univ.edu
P14624,Sam  Marcosson,6,Data Science,6.57,10.0,6.52,sam..marcosson@univ.edu
P14625,Sam  Marcosson,11,Web Development,6.11,5.4,7.41,sam..marcosson@univ.edu
P14626,Sam  Marcosson,16,AI/ML,8.55,7.19,6.74,sam..marcosson@univ.edu
P14627,Sam  Marcosson,6,AI/ML,8.25,8.78,8.05,sam..marcosson@univ.edu
P14628,Sam  Marcosson,12,AI/ML,5.8,8.65,5.89,sam..marcosson@univ.edu
P14629,Sam  Marcosson,10,Web Development,6.59,6.52,6.66,sam..marcosson@univ.edu
P14630,Wallace  Edgerton,5,AI/ML,5.05,10.0,6.32,wallace..edgerton@univ.edu
P14631,Wallace  Edgerton,9,Web Development,6.41,7.04,7.72,wallace..edgerton@univ.edu
P14632,Wallace  Edgerton,12,AI/ML,6.18,6.79,8.13,wallace..edgerton@univ.edu
P14633,Wallace  Edgerton,5,Web Development,6.81,7.87,7.73,wallace..edgerton@univ.edu
P14634,Wallace  Edgerton,4,Mobile Development,5.94,6.28,9.31,wallace..edgerton@univ.edu
P14635,Wallace  Edgerton,17,Cybersecurity,4.87,6.78,7.33,wallace..edgerton@univ.edu
P14636,Wallace  Edgerton,11,Mobile Development,6.34,6.97,6.35,wallace..edgerton@univ.edu
P14637,Wallace  Edgerton,17,Cybersecurity,8.51,5.83,6.68,wallace..edgerton@univ.edu
P14638,Wallace  Edgerton,19,Cybersecurity,6.24,8.37,6.5,wallace..edgerton@univ.edu
P14639,Wallace  Edgerton,9,AI/ML,9.33,6.31,7.13,wallace..edgerton@univ.edu
P14640,Wallace  Edgerton,20,Cybersecurity,5.99,8.44,5.72,wallace..edgerton@univ.edu
P14641,Wallace  Edgerton,17,Cybersecurity,7.1,6.44,7.61,wallace..edgerton@univ.edu
P14642,Wallace  Edgerton,20,Mobile Development,7.39,9.63,7.94,wallace..edgerton@univ.edu
P14643,Wallace  Edgerton,14,Cybersecurity,5.75,9.08,7.71,wallace..edgerton@univ.edu
P14644,Wallace  Edgerton,10,Web Development,5.01,8.96,9.14,wallace..edgerton@univ.edu
P14645,Wallace  Edgerton,4,Web Development,8.3,7.88,9.64,wallace..edgerton@univ.edu
P14646,Wallace  Edgerton,4,AI/ML,8.31,10.0,7.38,wallace..edgerton@univ.edu
P14647,Wallace  Edgerton,7,Mobile Development,8.67,8.51,8.81,wallace..edgerton@univ.edu
P14648,Wallace  Edgerton,3,Data Science,6.02,7.26,5.84,wallace..edgerton@univ.edu
P14649,Wallace  Edgerton,6,Mobile Development,7.44,6.27,9.62,wallace..edgerton@univ.edu
P14650,Robert  Ebert,8,Data Science,7.05,8.73,7.67,robert..ebert@univ.edu
P14651,Robert  Ebert,15,Cybersecurity,6.88,6.61,7.99,robert..ebert@univ.edu
P14652,Robert  Ebert,13,Data Science,6.54,8.76,6.49,robert..ebert@univ.edu
P14653,Robert  Ebert,15,Cybersecurity,7.93,7.89,8.4,robert..ebert@univ.edu
P14654,Robert  Ebert,10,Mobile Development,10.0,8.01,7.81,robert..ebert@univ.edu
P14655,Robert  Ebert,9,Mobile Development,7.33,9.26,8.71,robert..ebert@univ.edu
P14656,Robert  Ebert,15,AI/ML,7.21,9.53,7.07,robert..ebert@univ.edu
P14657,Robert  Ebert,3,AI/ML,6.21,7.51,7.23,robert..ebert@univ.edu
P14658,Robert  Ebert,8,Cybersecurity,7.81,8.16,7.06,robert..ebert@univ.edu
P14659,Robert  Ebert,9,Cybersecurity,4.05,9.72,8.85,robert..ebert@univ.edu
P14660,Robert  Ebert,18,Web Development,6.6,10.0,5.66,robert..ebert@univ.edu
P14661,Robert  Ebert,17,Web Development,7.44,8.94,8.62,robert..ebert@univ.edu
P14662,Robert  Ebert,4,Web Development,7.29,10.0,8.85,robert..ebert@univ.edu
P14663,Robert  Ebert,18,Mobile Development,6.88,6.28,9.54,robert..ebert@univ.edu
P14664,Robert  Ebert,19,Data Science,4.79,6.9,8.27,robert..ebert@univ.edu
P14665,Robert  Ebert,17,Cybersecurity,8.8,4.68,6.43,robert..ebert@univ.edu
P14666,Leslie  Abramson,5,AI/ML,7.28,6.74,8.31,leslie..abramson@univ.edu
P14667,Leslie  Abramson,6,Cybersecurity,6.97,6.32,9.66,leslie..abramson@univ.edu
P14668,Leslie  Abramson,14,Data Science,8.51,9.37,7.81,leslie..abramson@univ.edu
P14669,Leslie  Abramson,7,Cybersecurity,8.45,8.18,7.05,leslie..abramson@univ.edu
P14670,Leslie  Abramson,19,AI/ML,6.74,10.0,9.94,leslie..abramson@univ.edu
P14671,Leslie  Abramson,8,AI/ML,6.69,8.75,5.61,leslie..abramson@univ.edu
P14672,Leslie  Abramson,12,Data Science,7.57,5.52,6.96,leslie..abramson@univ.edu
P14673,Leslie  Abramson,20,AI/ML,8.48,5.94,9.39,leslie..abramson@univ.edu
P14674,Leslie  Abramson,12,Mobile Development,8.18,7.61,6.17,leslie..abramson@univ.edu
P14675,Leslie  Abramson,8,AI/ML,5.84,7.44,9.12,leslie..abramson@univ.edu
P14676,Enid  Trucios-Haynes,8,Data Science,5.7,8.41,5.2,enid..trucios-haynes@univ.edu
P14677,Enid  Trucios-Haynes,17,Data Science,5.96,5.9,8.49,enid..trucios-haynes@univ.edu
P14678,Enid  Trucios-Haynes,6,Cybersecurity,7.66,7.49,8.6,enid..trucios-haynes@univ.edu
P14679,Donna  Shea,18,AI/ML,6.54,9.67,6.09,donna..shea@univ.edu
P14680,Donna  Shea,10,AI/ML,7.6,8.23,7.52,donna..shea@univ.edu
P14681,Donna  Shea,9,Data Science,5.44,8.12,5.85,donna..shea@univ.edu
P14682,Donna  Shea,19,Cybersecurity,6.01,9.48,6.26,donna..shea@univ.edu
P14683,Donna  Shea,15,Cybersecurity,7.59,7.07,7.53,donna..shea@univ.edu
P14684,Gerry  McKeon,17,Mobile Development,5.14,5.94,9.72,gerry..mckeon@univ.edu
P14685,Gerry  McKeon,4,Mobile Development,9.14,6.31,9.06,gerry..mckeon@univ.edu
P14686,Gerry  McKeon,12,Data Science,8.33,9.5,5.86,gerry..mckeon@univ.edu
P14687,Gerry  McKeon,15,Cybersecurity,8.66,7.29,8.42,gerry..mckeon@univ.edu
P14688,Gerry  McKeon,20,Cybersecurity,7.92,6.88,5.93,gerry..mckeon@univ.edu
P14689,Gerry  McKeon,13,Mobile Development,4.75,7.45,9.17,gerry..mckeon@univ.edu
P14690,Gerry  McKeon,15,Mobile Development,8.35,7.07,6.08,gerry..mckeon@univ.edu
P14691,Gerry  McKeon,7,Data Science,7.87,7.61,8.74,gerry..mckeon@univ.edu
P14692,Gerry  McKeon,5,Cybersecurity,6.6,8.43,6.93,gerry..mckeon@univ.edu
P14693,Gerry  McKeon,15,Data Science,6.46,6.46,5.13,gerry..mckeon@univ.edu
P14694,Gerry  McKeon,7,Mobile Development,7.94,4.78,7.37,gerry..mckeon@univ.edu
P14695,Gerry  McKeon,14,AI/ML,5.1,7.04,6.81,gerry..mckeon@univ.edu
P14696,Gerry  McKeon,16,Mobile Development,8.1,7.46,8.41,gerry..mckeon@univ.edu
P14697,Janel  Sexton,8,Cybersecurity,6.23,9.5,6.41,janel..sexton@univ.edu
P14698,Janel  Sexton,11,Data Science,7.2,8.59,8.93,janel..sexton@univ.edu
P14699,Janel  Sexton,19,Cybersecurity,7.24,6.9,10.0,janel..sexton@univ.edu
P14700,Janel  Sexton,10,Mobile Development,5.38,8.48,6.45,janel..sexton@univ.edu
P14701,Janel  Sexton,15,Mobile Development,5.06,10.0,6.97,janel..sexton@univ.edu
P14702,Judy  Gregg,7,Web Development,7.3,9.87,10.0,judy..gregg@univ.edu
P14703,Judy  Gregg,19,Mobile Development,6.94,7.32,8.01,judy..gregg@univ.edu
P14704,Judy  Gregg,5,Cybersecurity,7.34,8.3,6.78,judy..gregg@univ.edu
P14705,Judy  Gregg,8,Data Science,5.78,9.26,7.84,judy..gregg@univ.edu
P14706,Judy  Gregg,16,Data Science,8.05,10.0,6.87,judy..gregg@univ.edu
P14707,Judy  Gregg,17,Web Development,8.45,7.86,7.27,judy..gregg@univ.edu
P14708,Judy  Gregg,16,Cybersecurity,6.67,8.15,7.33,judy..gregg@univ.edu
P14709,Judy  Gregg,13,Mobile Development,5.61,7.63,7.72,judy..gregg@univ.edu
P14710,Judy  Gregg,13,AI/ML,6.32,6.76,8.37,judy..gregg@univ.edu
P14711,Judy  Gregg,11,Data Science,7.35,7.4,8.98,judy..gregg@univ.edu
P14712,Judy  Gregg,8,Cybersecurity,7.54,9.0,7.99,judy..gregg@univ.edu
P14713,Judy  Gregg,17,Web Development,9.34,10.0,6.76,judy..gregg@univ.edu
P14714,Judy  Gregg,14,AI/ML,7.99,6.41,9.19,judy..gregg@univ.edu
P14715,Judy  Gregg,8,Cybersecurity,6.7,9.76,8.91,judy..gregg@univ.edu
P14716,Judy  Gregg,3,Mobile Development,7.64,10.0,6.51,judy..gregg@univ.edu
P14717,Judy  Gregg,18,Data Science,7.4,7.73,7.82,judy..gregg@univ.edu
P14718,Judy  Gregg,17,Mobile Development,7.06,8.2,7.45,judy..gregg@univ.edu
P14719,Judy  Gregg,4,Web Development,9.0,8.04,7.04,judy..gregg@univ.edu
P14720,Judy  Gregg,19,Data Science,6.25,10.0,8.01,judy..gregg@univ.edu
P14721,Judy  Gregg,5,AI/ML,7.72,6.4,9.76,judy..gregg@univ.edu
P14722,Carolyn  Perry,5,Data Science,7.7,7.83,7.65,carolyn..perry@univ.edu
P14723,Carolyn  Perry,7,Mobile Development,9.18,8.81,6.33,carolyn..perry@univ.edu
P14724,Carolyn  Perry,19,Cybersecurity,4.52,6.98,6.91,carolyn..perry@univ.edu
P14725,Carolyn  Perry,19,Cybersecurity,8.46,5.51,6.26,carolyn..perry@univ.edu
P14726,Carolyn  Perry,8,Cybersecurity,5.67,6.65,7.3,carolyn..perry@univ.edu
P14727,Carolyn  Perry,3,Web Development,5.16,6.05,8.44,carolyn..perry@univ.edu
P14728,Carolyn  Perry,9,Web Development,5.86,8.55,6.37,carolyn..perry@univ.edu
P14729,Carolyn  Perry,17,Cybersecurity,5.22,9.81,5.91,carolyn..perry@univ.edu
P14730,Carolyn  Perry,9,AI/ML,8.42,8.43,5.04,carolyn..perry@univ.edu
P14731,Carolyn  Perry,13,Mobile Development,8.94,6.29,5.84,carolyn..perry@univ.edu
P14732,Carolyn  Perry,16,AI/ML,6.15,8.79,9.31,carolyn..perry@univ.edu
P14733,Carolyn  Perry,15,Cybersecurity,6.75,7.61,9.4,carolyn..perry@univ.edu
P14734,Carolyn  Perry,11,Mobile Development,8.36,10.0,7.09,carolyn..perry@univ.edu
P14735,Carolyn  Perry,11,Web Development,9.01,7.5,9.0,carolyn..perry@univ.edu
P14736,Carolyn  Perry,18,Data Science,7.18,6.89,7.61,carolyn..perry@univ.edu
P14737,Carolyn  Perry,14,Data Science,6.47,8.93,6.93,carolyn..perry@univ.edu
P14738,Carolyn  Perry,12,Mobile Development,5.3,7.3,9.97,carolyn..perry@univ.edu
P14739,Carolyn  Perry,8,AI/ML,5.56,8.1,7.3,carolyn..perry@univ.edu
P14740,Carolyn  Perry,20,Mobile Development,8.95,5.67,8.48,carolyn..perry@univ.edu
P14741,Carolyn  Perry,4,AI/ML,5.57,7.28,7.12,carolyn..perry@univ.edu
P14742,Jerry  Giger,11,AI/ML,7.47,8.25,5.36,jerry..giger@univ.edu
P14743,Jerry  Giger,8,Data Science,6.71,8.54,7.4,jerry..giger@univ.edu
P14744,Jerry  Giger,4,Web Development,6.59,7.32,7.63,jerry..giger@univ.edu
P14745,Jerry  Giger,17,Cybersecurity,5.14,9.95,6.1,jerry..giger@univ.edu
P14746,Jerry  Giger,19,Web Development,6.73,6.5,7.4,jerry..giger@univ.edu
P14747,Jerry  Giger,18,Cybersecurity,8.96,9.05,6.63,jerry..giger@univ.edu
P14748,Jerry  Giger,10,Data Science,6.99,9.9,8.98,jerry..giger@univ.edu
P14749,Jerry  Giger,12,Cybersecurity,7.68,7.75,6.67,jerry..giger@univ.edu
P14750,Jerry  Giger,12,AI/ML,5.24,10.0,7.15,jerry..giger@univ.edu
P14751,Jerry  Giger,20,Mobile Development,6.86,6.4,7.08,jerry..giger@univ.edu
P14752,Greg  Detweiler,12,Cybersecurity,6.78,7.51,7.3,greg..detweiler@univ.edu
P14753,Greg  Detweiler,11,Web Development,6.85,8.1,5.93,greg..detweiler@univ.edu
P14754,Greg  Detweiler,3,Data Science,7.52,8.32,7.43,greg..detweiler@univ.edu
P14755,Greg  Detweiler,6,Data Science,7.29,8.68,9.35,greg..detweiler@univ.edu
P14756,Greg  Detweiler,5,Mobile Development,5.82,7.38,7.45,greg..detweiler@univ.edu
P14757,Greg  Detweiler,12,AI/ML,6.12,8.83,8.88,greg..detweiler@univ.edu
P14758,Greg  Detweiler,14,AI/ML,7.0,9.05,5.24,greg..detweiler@univ.edu
P14759,Greg  Detweiler,20,Data Science,9.55,6.6,4.86,greg..detweiler@univ.edu
P14760,Greg  Detweiler,8,AI/ML,6.1,8.98,8.82,greg..detweiler@univ.edu
P14761,Greg  Detweiler,4,Mobile Development,6.44,8.7,7.42,greg..detweiler@univ.edu
P14762,Greg  Detweiler,12,Data Science,6.6,9.39,7.74,greg..detweiler@univ.edu
P14763,Greg  Detweiler,4,AI/ML,7.4,7.65,7.47,greg..detweiler@univ.edu
P14764,Greg  Detweiler,11,Cybersecurity,8.16,4.5,8.42,greg..detweiler@univ.edu
P14765,Greg  Detweiler,12,Cybersecurity,7.47,4.43,6.31,greg..detweiler@univ.edu
P14766,Greg  Detweiler,4,AI/ML,5.76,8.08,7.71,greg..detweiler@univ.edu
P14767,Greg  Detweiler,10,Cybersecurity,7.75,7.02,8.21,greg..detweiler@univ.edu
P14768,Greg  Detweiler,19,Mobile Development,8.82,8.71,6.73,greg..detweiler@univ.edu
P14769,Greg  Detweiler,19,Web Development,7.05,7.87,6.85,greg..detweiler@univ.edu
P14770,Greg  Detweiler,6,Mobile Development,6.69,7.61,5.92,greg..detweiler@univ.edu
